station_name,three_letter_code,national_location_code,region,local_authority
Aigburth,AIG,2255,North West,Liverpool
Bank Hall,BAH,2238,North West,Liverpool
Broad Green,BGE,2240,North West,Liverpool
Brunswick,BRW,3623,North West,Liverpool
Cressington,CSG,2225,North West,Liverpool
Edge Hill,EDG,2169,North West,Liverpool
Fazakerley,FAZ,2126,North West,Liverpool
Hunts Cross,HNX,2235,North West,Liverpool
Kirkdale,KKD,2245,North West,Liverpool
Liverpool Central,LVC,2242,North West,Liverpool
Liverpool James Street,LVJ,2244,North West,Liverpool
Liverpool Lime Street,LIV,2246,North West,Liverpool
Liverpool South Parkway,LPY,9709,North West,Liverpool
Moorfields,MRF,2226,North West,Liverpool
Mossley Hill,MSH,2171,North West,Liverpool
Orrell Park,OPK,2247,North West,Liverpool
Rice Lane,RIL,2131,North West,Liverpool
Sandhills,SDL,2249,North West,Liverpool
St Michaels,STM,2248,North West,Liverpool
Walton (Merseyside),WAO,2251,North West,Liverpool
Wavertree Technology Park,WAV,8589,North West,Liverpool
West Allerton,WSA,2266,North West,Liverpool
