countline_id,group,analysis_scheme_id,paired_month_days
15104,Eligible other LCR sensors,"",45
15106,Eligible other LCR sensors,"",41
15160,Eligible other LCR sensors,"",44
15161,Eligible other LCR sensors,"",40
15162,Eligible other LCR sensors,"",40
16347,Eligible other LCR sensors,"",46
16348,Eligible other LCR sensors,"",46
16349,Eligible other LCR sensors,"",46
16350,Eligible other LCR sensors,"",47
16351,Eligible other LCR sensors,"",47
16352,Eligible other LCR sensors,"",47
16353,Eligible other LCR sensors,"",45
16354,Eligible other LCR sensors,"",41
16355,Eligible other LCR sensors,"",41
16356,Eligible other LCR sensors,"",46
16357,Eligible other LCR sensors,"",46
16358,Eligible other LCR sensors,"",46
16361,Eligible other LCR sensors,"",45
16362,Eligible other LCR sensors,"",45
16363,Eligible other LCR sensors,"",47
16364,Eligible other LCR sensors,"",44
16365,Eligible other LCR sensors,"",44
16366,Eligible other LCR sensors,"",46
16367,Eligible other LCR sensors,"",45
16368,Eligible other LCR sensors,"",45
16375,Eligible other LCR sensors,"",41
16376,Eligible other LCR sensors,"",41
16379,Eligible other LCR sensors,"",42
16380,Eligible other LCR sensors,"",42
16381,Eligible other LCR sensors,"",44
16382,Eligible other LCR sensors,"",44
16383,Eligible other LCR sensors,"",44
16386,Eligible other LCR sensors,"",47
16387,Eligible other LCR sensors,"",47
16388,Eligible other LCR sensors,"",47
16389,Eligible other LCR sensors,"",47
16390,Eligible other LCR sensors,"",47
16391,Eligible other LCR sensors,"",47
16392,Eligible other LCR sensors,"",47
16395,Eligible other LCR sensors,"",47
16396,Eligible other LCR sensors,"",41
16402,Eligible other LCR sensors,"",47
16403,Eligible other LCR sensors,"",47
16672,Eligible other LCR sensors,"",46
16673,Eligible other LCR sensors,"",46
16676,Eligible other LCR sensors,"",46
22867,Eligible other LCR sensors,"",47
22868,Eligible other LCR sensors,"",47
22869,Eligible other LCR sensors,"",47
22870,Eligible other LCR sensors,"",45
22871,Eligible other LCR sensors,"",47
22872,Eligible other LCR sensors,"",47
22873,Eligible other LCR sensors,"",47
22874,Eligible other LCR sensors,"",47
22875,Eligible other LCR sensors,"",41
22876,Eligible other LCR sensors,"",47
22877,Eligible other LCR sensors,"",47
22878,Eligible other LCR sensors,"",47
22879,Eligible other LCR sensors,"",47
22880,Eligible other LCR sensors,"",43
22881,Eligible other LCR sensors,"",43
22882,Eligible other LCR sensors,"",46
22883,Eligible other LCR sensors,"",46
22884,Eligible other LCR sensors,"",47
22885,Eligible other LCR sensors,"",47
22886,Eligible other LCR sensors,"",47
22887,Eligible other LCR sensors,"",41
22888,Eligible other LCR sensors,"",41
22894,Eligible other LCR sensors,"",47
22895,Eligible other LCR sensors,"",47
22896,Eligible other LCR sensors,"",47
22898,Eligible other LCR sensors,"",45
22899,Eligible other LCR sensors,"",45
22900,Eligible other LCR sensors,"",45
23038,Eligible other LCR sensors,"",47
23039,Eligible other LCR sensors,"",47
23780,Eligible other LCR sensors,"",39
23781,Eligible other LCR sensors,"",39
23789,Eligible other LCR sensors,"",36
23790,Eligible other LCR sensors,"",36
23791,Eligible other LCR sensors,"",36
23792,Eligible other LCR sensors,"",46
23793,Eligible other LCR sensors,"",46
23794,Eligible other LCR sensors,"",46
23795,Eligible other LCR sensors,"",46
23802,Eligible other LCR sensors,"",35
23803,Eligible other LCR sensors,"",35
23804,Eligible other LCR sensors,"",35
23807,Eligible other LCR sensors,"",46
23808,Eligible other LCR sensors,"",47
23811,Eligible other LCR sensors,"",46
23812,Eligible other LCR sensors,"",46
23813,Eligible other LCR sensors,"",46
26532,Eligible other LCR sensors,"",47
40720,Eligible other LCR sensors,"",43
40721,Eligible other LCR sensors,"",43
40722,Eligible other LCR sensors,"",43
40723,Eligible other LCR sensors,"",44
40724,Eligible other LCR sensors,"",44
40725,Eligible other LCR sensors,"",46
40726,Eligible other LCR sensors,"",46
40727,Eligible other LCR sensors,"",45
40728,Eligible other LCR sensors,"",45
40729,Eligible other LCR sensors,"",45
40730,Eligible other LCR sensors,"",45
40731,Eligible other LCR sensors,"",45
40732,Eligible other LCR sensors,"",46
40733,Eligible other LCR sensors,"",46
40740,Eligible other LCR sensors,"",46
40741,Eligible other LCR sensors,"",46
40742,Eligible other LCR sensors,"",46
40743,Eligible other LCR sensors,"",45
40744,Eligible other LCR sensors,"",45
40745,Eligible other LCR sensors,"",46
40746,Eligible other LCR sensors,"",46
40834,Eligible other LCR sensors,"",42
40835,Eligible other LCR sensors,"",42
43340,Eligible other LCR sensors,"",45
43342,Eligible other LCR sensors,"",45
43343,Eligible other LCR sensors,"",45
43346,Eligible other LCR sensors,"",47
43347,Eligible other LCR sensors,"",47
43493,Eligible other LCR sensors,"",46
43494,Eligible other LCR sensors,"",46
43495,Eligible other LCR sensors,"",46
52615,Eligible other LCR sensors,"",45
16373,Schemes 12d and 12f,12d,40
16374,Schemes 12d and 12f,12d,40
16393,Schemes 12d and 12f,12d,42
16394,Schemes 12d and 12f,12d,42
23799,Schemes 12d and 12f,12f,47
23800,Schemes 12d and 12f,12f,47
23801,Schemes 12d and 12f,12f,47
