month_start,sensor_group,sensors,observed_countline_days,outcome,count_total,outcome_label,count_per_observed_day
2024-08-01,Other LCR sensors,132,4007,pedestrian,1065481,Pedestrian,265.904916396307
2024-09-01,Other LCR sensors,132,3750,pedestrian,1232097,Pedestrian,328.5592
2024-10-01,Other LCR sensors,133,3879,pedestrian,1374549,Pedestrian,354.356535189482
2024-11-01,Other LCR sensors,130,3588,pedestrian,1170805,Pedestrian,326.311315496098
2024-12-01,Other LCR sensors,130,3867,pedestrian,982378,Pedestrian,254.04137574347
2025-01-01,Other LCR sensors,130,3307,pedestrian,864198,Pedestrian,261.323858482008
2025-02-01,Other LCR sensors,129,3406,pedestrian,1092991,Pedestrian,320.901644157369
2025-03-01,Other LCR sensors,129,3681,pedestrian,1314127,Pedestrian,357.002716653083
2025-04-01,Other LCR sensors,129,3554,pedestrian,1136514,Pedestrian,319.78446820484
2025-05-01,Other LCR sensors,125,3685,pedestrian,1108541,Pedestrian,300.825237449118
2024-08-01,Five scheme sensors,20,608,pedestrian,63959,Pedestrian,105.195723684211
2024-09-01,Five scheme sensors,20,556,pedestrian,59185,Pedestrian,106.447841726619
2024-10-01,Five scheme sensors,20,576,pedestrian,61540,Pedestrian,106.840277777778
2024-11-01,Five scheme sensors,20,516,pedestrian,50195,Pedestrian,97.2771317829457
2024-12-01,Five scheme sensors,20,547,pedestrian,43691,Pedestrian,79.8738574040219
2025-01-01,Five scheme sensors,18,398,pedestrian,32523,Pedestrian,81.7160804020101
2025-02-01,Five scheme sensors,20,484,pedestrian,48144,Pedestrian,99.4710743801653
2025-03-01,Five scheme sensors,20,518,pedestrian,59924,Pedestrian,115.683397683398
2025-04-01,Five scheme sensors,20,526,pedestrian,59723,Pedestrian,113.541825095057
2025-05-01,Five scheme sensors,20,578,pedestrian,89775,Pedestrian,155.320069204152
2024-08-01,Other LCR sensors,132,4007,cyclist,255663,Cyclist,63.8040928375343
2024-09-01,Other LCR sensors,132,3750,cyclist,223002,Cyclist,59.4672
2024-10-01,Other LCR sensors,133,3879,cyclist,237333,Cyclist,61.184068058778
2024-11-01,Other LCR sensors,130,3588,cyclist,196105,Cyclist,54.6557971014493
2024-12-01,Other LCR sensors,130,3867,cyclist,165027,Cyclist,42.6757176105508
2025-01-01,Other LCR sensors,130,3307,cyclist,143016,Cyclist,43.246446930753
2025-02-01,Other LCR sensors,129,3406,cyclist,168153,Cyclist,49.3696418085731
2025-03-01,Other LCR sensors,129,3681,cyclist,217665,Cyclist,59.1320293398533
2025-04-01,Other LCR sensors,129,3554,cyclist,224697,Cyclist,63.2236916150816
2025-05-01,Other LCR sensors,125,3685,cyclist,249068,Cyclist,67.5896879240163
2024-08-01,Five scheme sensors,20,608,cyclist,23678,Cyclist,38.9440789473684
2024-09-01,Five scheme sensors,20,556,cyclist,19189,Cyclist,34.5125899280576
2024-10-01,Five scheme sensors,20,576,cyclist,18543,Cyclist,32.1927083333333
2024-11-01,Five scheme sensors,20,516,cyclist,14449,Cyclist,28.0019379844961
2024-12-01,Five scheme sensors,20,547,cyclist,12000,Cyclist,21.9378427787934
2025-01-01,Five scheme sensors,18,398,cyclist,8684,Cyclist,21.8190954773869
2025-02-01,Five scheme sensors,20,484,cyclist,12775,Cyclist,26.3946280991736
2025-03-01,Five scheme sensors,20,518,cyclist,17366,Cyclist,33.5250965250965
2025-04-01,Five scheme sensors,20,526,cyclist,21564,Cyclist,40.9961977186312
2025-05-01,Five scheme sensors,20,578,cyclist,26807,Cyclist,46.378892733564
2024-08-01,Other LCR sensors,132,4007,active_travel_total,1321144,Active travel,329.709009233841
2024-09-01,Other LCR sensors,132,3750,active_travel_total,1455099,Active travel,388.0264
2024-10-01,Other LCR sensors,133,3879,active_travel_total,1611882,Active travel,415.54060324826
2024-11-01,Other LCR sensors,130,3588,active_travel_total,1366910,Active travel,380.967112597547
2024-12-01,Other LCR sensors,130,3867,active_travel_total,1147405,Active travel,296.717093354021
2025-01-01,Other LCR sensors,130,3307,active_travel_total,1007214,Active travel,304.570305412761
2025-02-01,Other LCR sensors,129,3406,active_travel_total,1261144,Active travel,370.271285965942
2025-03-01,Other LCR sensors,129,3681,active_travel_total,1531792,Active travel,416.134745992937
2025-04-01,Other LCR sensors,129,3554,active_travel_total,1361211,Active travel,383.008159819921
2025-05-01,Other LCR sensors,125,3685,active_travel_total,1357609,Active travel,368.414925373134
2024-08-01,Five scheme sensors,20,608,active_travel_total,87637,Active travel,144.139802631579
2024-09-01,Five scheme sensors,20,556,active_travel_total,78374,Active travel,140.960431654676
2024-10-01,Five scheme sensors,20,576,active_travel_total,80083,Active travel,139.032986111111
2024-11-01,Five scheme sensors,20,516,active_travel_total,64644,Active travel,125.279069767442
2024-12-01,Five scheme sensors,20,547,active_travel_total,55691,Active travel,101.811700182815
2025-01-01,Five scheme sensors,18,398,active_travel_total,41207,Active travel,103.535175879397
2025-02-01,Five scheme sensors,20,484,active_travel_total,60919,Active travel,125.865702479339
2025-03-01,Five scheme sensors,20,518,active_travel_total,77290,Active travel,149.208494208494
2025-04-01,Five scheme sensors,20,526,active_travel_total,81287,Active travel,154.538022813688
2025-05-01,Five scheme sensors,20,578,active_travel_total,116582,Active travel,201.698961937716
