weather_site_id,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,requested_longitude,requested_latitude,returned_grid_longitude,returned_grid_latitude,source_model,timezone
imd_context_01,2020-01-01,5.6,0,15,1.69,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-02,8.2,0.5,25.2,1.33,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-03,7.9,2.4,24.8,2.88,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-04,8,0.3,26.7,1.56,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-05,8.7,0,19.9,0.95,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-06,8.6,3,28.5,0.93,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-07,9.8,1.7,30.4,1.07,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-08,9.2,0.8,26.4,2.91,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-09,6.3,10,26.2,1.53,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-10,5.5,0.1,22.1,2.64,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-11,10.6,6.5,32.1,0.82,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-12,7.2,8.4,22.7,1.93,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-13,6.4,4.4,43.2,1.3,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-14,7.1,3.8,35.1,0.85,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-15,7,0,25.5,3.79,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-16,8.2,3.6,41.1,1.57,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-17,6.5,10.1,21.3,1.57,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-18,5.5,0.8,23.8,4.01,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-19,2.9,0,10,3.82,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-20,4.2,0,15.6,4.02,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-21,6.5,0,14.8,1.67,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-22,7.5,0.6,11.1,0.93,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-23,6.6,0,12.3,1.59,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-24,6.8,0,14.5,1.41,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-25,6.5,0,17.9,2.5,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-26,7,4,29.5,1.04,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-27,5.6,1.2,19.9,4.53,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-28,5,0.9,33.5,2.92,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-29,7.2,0.5,33.2,3.41,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-30,9.2,0,33.6,1.95,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-01-31,10.6,2,27,1.35,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-01,9.4,1.9,34.5,4.46,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-02,8.1,7,23.7,3.88,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-03,8,1.2,30.6,4.57,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-04,7.1,1.6,41.1,3.69,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-05,5.2,0,12.4,3.33,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-06,3.4,0,13.5,5.54,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-07,4.8,0,27.5,5.75,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-08,8.5,1.8,35.4,5.95,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-09,10.4,25.2,46.8,2.71,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-10,5.7,7.1,42.6,4.56,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-11,5,0.8,43.6,4.94,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-12,5.2,1,37.2,5.53,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-13,5.7,6.4,33.5,5,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-14,6.5,0.7,29.3,2.97,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-15,9.6,9.3,47.4,0.85,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-16,8.3,12.7,39.1,5.22,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-17,7.3,0,38.2,6.86,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-18,6.6,4.6,32.5,5.54,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-19,6.6,6.9,30.4,2.01,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-20,7.8,9.6,36.6,3.56,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-21,8.3,5.7,35.6,1.76,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
imd_context_01,2020-02-22,8.8,7,40.2,5.59,-2.8204725,53.398693625,-2.75,53.5,ERA5 via Open-Meteo,Europe/London
