pair_id,scheme_id,imd_role,requested_longitude,requested_latitude,countlines,weather_site_id
12b | Knowsley 017B,12b,Five scheme sensors,-2.8204725,53.398693625,4,imd_context_01
12b | Knowsley 017B,12b,IMD-matched sensors,-2.985946125,53.401466875,4,imd_context_02
12d | Liverpool 052A,12d,Five scheme sensors,-2.9366994,53.3745361,5,imd_context_03
12d | Liverpool 052A,12d,IMD-matched sensors,-2.7120345,53.4187743333333,3,imd_context_04
12e | St. Helens 008C,12e,Five scheme sensors,-2.710021,53.45801925,2,imd_context_05
12e | St. Helens 008C,12e,IMD-matched sensors,-3.00962875,53.64447325,2,imd_context_06
12e | St. Helens 014D,12e,Five scheme sensors,-2.71600666666667,53.4560846666667,3,imd_context_07
12e | St. Helens 014D,12e,IMD-matched sensors,-2.85588816666667,53.4280806666667,3,imd_context_08
12f | Wirral 006A,12f,Five scheme sensors,-3.11016583333333,53.4161683333333,3,imd_context_09
12f | Wirral 006A,12f,IMD-matched sensors,-3.07071766666667,53.43207,3,imd_context_10
13 | Halton 010B,13,Five scheme sensors,-2.699180875,53.344801625,4,imd_context_11
13 | Halton 010B,13,IMD-matched sensors,-2.949514,53.4200574,5,imd_context_12
