analysis_scheme_id,comparison_label,baseline_year,comparison_year,comparison_note,outcome,outcome_label,scheme_name,treated_road_group,dataset_role,role_label,intervention_date,baseline_observed_weeks,baseline_observed_countline_days,baseline_count_total,baseline_average_per_observed_day,comparison_observed_weeks,comparison_observed_countline_days,comparison_count_total,comparison_average_per_observed_day,difference_comparison_minus_baseline,percent_change,interpretation
12b,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1464,119921,81.91325136612022,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12b,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1464,34153,23.328551912568305,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12b,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1464,154074,105.24180327868852,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12b,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1458,108441,74.37654320987654,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12b,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1458,33705,23.117283950617285,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12b,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1458,142146,97.49382716049382,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12d,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1634,226423,138.56976744186048,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12d,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1634,61515,37.6468788249694,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12d,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1634,287938,176.21664626682985,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12d,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,7,235,25319,107.7404255319149,53,1649,216190,131.10369921164343,23.363273679728536,21.684779472870996,Comparison-year average is higher by 23.4 per observed countline-day (21.7%).
12d,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,7,235,7846,33.38723404255319,53,1649,63014,38.213462704669496,4.826228662116307,14.455311440190322,Comparison-year average is higher by 4.8 per observed countline-day (14.5%).
12d,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,2023-03-01,7,235,33165,141.12765957446808,53,1649,279204,169.31716191631293,28.189502341844843,19.974470225640097,Comparison-year average is higher by 28.2 per observed countline-day (20%).
12e,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,23,763,121749,159.56618610747051,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12e,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,23,763,24760,32.45085190039318,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12e,2021 vs 2024,2021,2024,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,23,763,146509,192.0170380078637,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12e,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Pedestrian,Pedestrian,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1771,265969,150.1801242236025,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12e,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,Cyclist,Cyclist,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1771,52298,29.53020892151327,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
12e,2022 vs 2025,2022,2025,Scheme installed in 2023: fixed calendar-year comparison requested by user.,active_travel_total,Active travel,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,2023-03-01,NA,NA,NA,NA,53,1771,318267,179.71033314511575,NA,NA,No usable treated baseline-year observations under the current quality-filtered daily output.
