imd_role,outcome,outcome_label,countlines,observed_countline_days,count_total,average_per_observed_day,active_travel_average,percentage_of_group_active_travel,comparison_group,comparison_level,pair_id,scheme_id,matched_calendar_days,matched_first_date,matched_last_date
Five scheme sensors,pedestrian,Pedestrian,4,620,49339,79.5790322580645,102.401612903226,77.7126746365512,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
Five scheme sensors,cyclist,Cyclist,4,620,14150,22.8225806451613,102.401612903226,22.2873253634488,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
Five scheme sensors,active_travel_total,Active travel,4,620,63489,102.401612903226,102.401612903226,100,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
IMD-matched sensors,pedestrian,Pedestrian,4,870,1363469,1567.20574712644,1693.30459770115,92.5530911127327,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
IMD-matched sensors,cyclist,Cyclist,4,870,109706,126.098850574713,1693.30459770115,7.4469088872673,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
IMD-matched sensors,active_travel_total,Active travel,4,870,1473175,1693.30459770115,1693.30459770115,100,12b | Knowsley 017B,Matched context,12b | Knowsley 017B,12b,218,2024-08-01,2025-04-24
Five scheme sensors,pedestrian,Pedestrian,4,834,127633,153.037170263789,189.276978417266,80.8535573335361,12d | Liverpool 052A,Matched context,12d | Liverpool 052A,12d,218,2024-08-01,2025-04-24
Five scheme sensors,cyclist,Cyclist,4,834,30224,36.2398081534772,189.276978417266,19.146442666464,12d | Liverpool 052A,Matched context,12d | Liverpool 052A,12d,218,2024-08-01,2025-04-24
Five scheme sensors,active_travel_total,Active travel,4,834,157857,189.276978417266,189.276978417266,100,12d | Liverpool 052A,Matched context,12d | Liverpool 052A,12d,218,2024-08-01,2025-04-24
IMD-matched sensors,pedestrian,Pedestrian,3,654,107334,164.119266055046,189.970948012232,86.3917708324949,12d | Liverpool 052A,Matched context,12d | Liverpool 052A,12d,218,2024-08-01,2025-04-24
IMD-matched sensors,cyclist,Cyclist,3,654,16907,25.8516819571865,189.970948012232,13.6082291675051,12d | Liverpool 052A,Matched context,12d | Liverpool 052A,12d,218,2024-08-01,2025-04-24
