pair_id,scheme_id,countline_id,imd_role,countline_name,route_type,hardware_name,pre_year,post_year,common_month_days
12d | Liverpool 052A,12d,16373,Five scheme sensors,S17_AigburthRd_road_east_mt001,Road,Aigburth Rd near Aigburth Dr,2022,2024,39
12d | Liverpool 052A,12d,16374,Five scheme sensors,S17_AigburthRd_path_LHS_mt001,Path/cycle facility,Aigburth Rd near Aigburth Dr,2022,2024,39
12d | Liverpool 052A,12d,16393,Five scheme sensors,S17_AigburthRd_west_mt001,Road,Aigburth Rd near Aigburth Dr,2022,2024,39
12d | Liverpool 052A,12d,16394,Five scheme sensors,S17_AigburthRd_path_RHS_mt001,Path/cycle facility,Aigburth Rd near Aigburth Dr,2022,2024,39
12d | Liverpool 052A,12d,22898,IMD-matched sensors,S40_ClockFaceRd_Path_LHS_mt001,Path/cycle facility,Clock Face Rd near Gartons Ln,2022,2024,39
12d | Liverpool 052A,12d,22899,IMD-matched sensors,S40_ClockFaceRd_Road_mt001,Road,Clock Face Rd near Gartons Ln,2022,2024,39
12d | Liverpool 052A,12d,22900,IMD-matched sensors,S40_ClockFaceRd_Path_RHS_mt001,Path/cycle facility,Clock Face Rd near Gartons Ln,2022,2024,39
12f | Wirral 006A,12f,23799,Five scheme sensors,s51_LeasoweRoad_LHS_path_mt001,Path/cycle facility,Leasowe Rd near Oakmere Close,2022,2024,35
12f | Wirral 006A,12f,23800,Five scheme sensors,s51_LeasoweRoad_road_mt001,Road,Leasowe Rd near Oakmere Close,2022,2024,35
12f | Wirral 006A,12f,23801,Five scheme sensors,s51_LeasoweRoad_RHS_path_mt001,Path/cycle facility,Leasowe Rd near Oakmere Close,2022,2024,35
12f | Wirral 006A,12f,23802,IMD-matched sensors,s53_HarrisonDrive_LHS_path_mt001,Path/cycle facility,Harrison Dr,2022,2024,35
12f | Wirral 006A,12f,23803,IMD-matched sensors,s53_HarrisonDrive_road_mt001,Road,Harrison Dr,2022,2024,35
12f | Wirral 006A,12f,23804,IMD-matched sensors,s53_HarrisonDrive_RHS_path_mt001,Path/cycle facility,Harrison Dr,2022,2024,35
13 | Halton 010B,13,47768,Five scheme sensors,S102_AstmoorBusway_road_mt001,Path/cycle facility,Edison Rd,2023,2024,88
13 | Halton 010B,13,47769,Five scheme sensors,S102_AstmoorBusway_path_RHS_mt001,Path/cycle facility,Edison Rd,2023,2024,88
13 | Halton 010B,13,47772,Five scheme sensors,S103_WarringtonRd_path_LHS_mt001,Path/cycle facility,Warrington Rd,2023,2024,88
13 | Halton 010B,13,47773,Five scheme sensors,S103_WarringtonRd_road_mt001,Road,Warrington Rd,2023,2024,88
13 | Halton 010B,13,15104,IMD-matched sensors,s1_westbound_road_lp04,Road,"West Derby Rd - Westbound, near Sheil Rd",2023,2024,88
13 | Halton 010B,13,15106,IMD-matched sensors,S2_eastbound_road_lp04,Road,"West Derby Rd - Eastbound, near Sheil Rd",2023,2024,88
13 | Halton 010B,13,15160,IMD-matched sensors,s1_westbound_side_path_lp04,Path/cycle facility,"West Derby Rd - Westbound, near Sheil Rd",2023,2024,88
13 | Halton 010B,13,15161,IMD-matched sensors,s2_eastbound_cycle_lane_lp04,Path/cycle facility,"West Derby Rd - Eastbound, near Sheil Rd",2023,2024,88
13 | Halton 010B,13,15162,IMD-matched sensors,s2_eastbound_side_path_lp04,Path/cycle facility,"West Derby Rd - Eastbound, near Sheil Rd",2023,2024,88
