comparison_id,comparison_label,model_scope,outcome,outcome_label,pre_year,post_year,matched_month_days,scheme_countlines,control_countlines,control_change_percent,scheme_change_percent,scheme_relative_to_control_percent,relative_lower_95,relative_upper_95,conditional_bootstrap_p,interpretation
12d + 12f equal-weight,Schemes 12d and 12f combined,Equal-weight matched-context daily change,active_travel_total,Active travel,2022,2024,,7,6,-4.83838459969566,-14.2866581036495,-9.92866027358715,-16.3819972364884,-2.42062205140402,0.0135972805438912,Lower than paired baseline within the selected matched dates
12d + 12f equal-weight,Schemes 12d and 12f combined,Equal-weight matched-context daily change,cyclist,Cyclist,2022,2024,,7,6,6.25313569720918,-28.7439056131025,-32.9374197577031,-38.5031004760684,-26.1055775964655,0.000399920015996801,Lower than paired baseline within the selected matched dates
12d + 12f equal-weight,Schemes 12d and 12f combined,Equal-weight matched-context daily change,pedestrian,Pedestrian,2022,2024,,7,6,-5.92170196585817,-8.84916580048769,-3.1117312874507,-10.948484387941,5.56376918917338,0.468306338732254,Direction uncertain within the selected matched dates
12d | Liverpool 052A,Scheme 12d,Matched-context daily change,active_travel_total,Active travel,2022,2024,39,4,3,-6.92117776306508,-7.54979937579518,-0.675364811911705,-10.6377300006491,12.9029919642418,0.849830033993201,Direction uncertain within the selected matched dates
12d | Liverpool 052A,Scheme 12d,Matched-context daily change,cyclist,Cyclist,2022,2024,39,4,3,19.0888699367312,-21.6029035293505,-34.1692498112545,-42.1118425832445,-22.6057666691155,0.000399920015996801,Lower than paired baseline within the selected matched dates
12d | Liverpool 052A,Scheme 12d,Matched-context daily change,pedestrian,Pedestrian,2022,2024,39,4,3,-9.60863221959535,-4.31945426955974,5.85141931128319,-5.12287577803823,19.5987096845589,0.34753049390122,Direction uncertain within the selected matched dates
12f | Wirral 006A,Scheme 12f,Matched-context daily change,active_travel_total,Active travel,2022,2024,35,3,3,-2.70898548174792,-20.5326010172315,-18.3198989379845,-26.1657483782483,-9.47346712003175,0.000399920015996801,Lower than paired baseline within the selected matched dates
12f | Wirral 006A,Scheme 12f,Matched-context daily change,cyclist,Cyclist,2022,2024,35,3,3,-5.19912690843837,-35.234451072109,-31.682539605581,-38.9054434894023,-23.3769214624266,0.000399920015996801,Lower than paired baseline within the selected matched dates
12f | Wirral 006A,Scheme 12f,Matched-context daily change,pedestrian,Pedestrian,2022,2024,35,3,3,-2.08438727796855,-13.1644315797032,-11.3159117261405,-21.8425904356872,-0.207601924295342,0.0463907218556289,Lower than paired baseline within the selected matched dates
13 | Halton 010B,Scheme 13,Matched-context daily change,active_travel_total,Active travel,2023,2024,88,4,5,2.70677187449246,-41.4987219063553,-43.0404860108609,-58.0034986417342,-27.7066503347787,0.000399920015996801,Lower than paired baseline within the selected matched dates
13 | Halton 010B,Scheme 13,Matched-context daily change,cyclist,Cyclist,2023,2024,88,4,5,-1.77827932710217,-19.9314438217479,-18.4818229311011,-28.7125448683387,-8.51448213198481,0.000799840031993601,Lower than paired baseline within the selected matched dates
13 | Halton 010B,Scheme 13,Matched-context daily change,pedestrian,Pedestrian,2023,2024,88,4,5,4.23604148254826,-48.4761620359217,-50.5700358232572,-68.6056586241834,-29.5834784111444,0.000399920015996801,Lower than paired baseline within the selected matched dates
