comparison_id,comparison_label,model_scope,outcome,outcome_label,pre_year,post_year,control_adjusted_change_percent,control_lower_95,control_upper_95,scheme_adjusted_change_percent,scheme_lower_95,scheme_upper_95,scheme_relative_to_control_percent,relative_lower_95,relative_upper_95,relative_p_value,sensor_level_relative_percent,sensor_level_p_value,scheme_countlines,control_countlines,common_month_days,model_rows,adjusted_r_squared,conclusion
12d + 12f combined,Schemes 12d and 12f combined,Combined matched pairs,active_travel_total,Active travel,2022,2024,-1.43855759219589,-6.83881129153896,4.27473140029411,-31.0481403079308,-55.0243682372377,5.70966473740959,-30.0417505998171,-54.4947276189929,7.55141993570172,0.103837579488881,-31.0664304893426,0.150347690075896,7,6,45,966,0.858630673609365,Scheme trajectory lower than paired IMD baseline
12d + 12f combined,Schemes 12d and 12f combined,Combined matched pairs,cyclist,Cyclist,2022,2024,4.28409741839646,-20.305045295545,36.4599931664391,-21.5779244477865,-36.6569922560176,-2.9092215075413,-24.7995835476452,-46.5743803620289,5.85001489787778,0.102609162189604,-24.1995935152263,0.155555193218007,7,6,45,966,0.806838396708838,Scheme trajectory lower than paired IMD baseline
12d + 12f combined,Schemes 12d and 12f combined,Combined matched pairs,pedestrian,Pedestrian,2022,2024,-8.49730266858514,-20.6767893353674,5.55225322791459,-30.9616843862999,-54.0039585249077,3.62389609892624,-24.550513124603,-50.8937058529895,15.924550378788,0.198914858526704,-25.3887585538822,0.233591728454197,7,6,45,966,0.943290316553746,Scheme trajectory lower than paired IMD baseline
12d | Liverpool 052A,Scheme 12d,Matched pair,active_travel_total,Active travel,2022,2024,-2.96089419443596,-12.5146796687476,7.6362070789556,-13.3849946483752,-33.0175319047917,12.0018322018008,-10.7421645813862,-32.3875069460733,17.8326788994752,0.422956643657938,-10.7421645813856,0.477856175725244,4,3,39,546,0.915727033897861,Scheme trajectory lower than paired IMD baseline
12d | Liverpool 052A,Scheme 12d,Matched pair,cyclist,Cyclist,2022,2024,32.5151239294866,14.5581125118041,53.2869011632658,-11.9538978819305,-32.990009460412,15.6859751174827,-33.5576955239311,-51.1885144640811,-9.55858491866454,0.00964136157052675,-33.5576955239313,0.0582051337801223,4,3,39,546,0.762473975857253,Scheme trajectory lower than paired IMD baseline
12d | Liverpool 052A,Scheme 12d,Matched pair,pedestrian,Pedestrian,2022,2024,-15.7654075303087,-33.2323714691587,6.27105866516475,-23.2614688225485,-40.6388568148654,-0.797022238827227,-8.89902957022902,-35.650349676244,28.9733008880411,0.599487563882359,-8.89902957022769,0.637133163345684,4,3,39,546,0.950275195551254,Scheme trajectory lower than paired IMD baseline
12f | Wirral 006A,Scheme 12f,Matched pair,active_travel_total,Active travel,2022,2024,-1.24405226685452,-3.90051793568518,1.4858457420688,-51.6809989777468,-79.9660614645381,16.5385356282202,-51.072312978233,-79.5218470725042,16.9010977589531,0.108553584806678,-51.0723129782332,0.266230760055429,3,3,35,420,0.821886250236116,Scheme trajectory lower than paired IMD baseline
12f | Wirral 006A,Scheme 12f,Matched pair,cyclist,Cyclist,2022,2024,-21.2587346663808,-41.8658236638875,6.65304399415581,-34.8895553088317,-48.2737657002433,-18.0421682484313,-17.3108986561219,-43.189980715672,20.3570702350452,0.321596640603505,-17.3108986561218,0.40238612488121,3,3,35,420,0.842886978923405,Scheme trajectory lower than paired IMD baseline
12f | Wirral 006A,Scheme 12f,Matched pair,pedestrian,Pedestrian,2022,2024,-0.722383412465066,-2.83074051931309,1.43172036070269,-41.7116862276663,-77.790466079982,52.9760838141561,-41.2875572804069,-77.4649008023505,52.9680832494872,0.276429414933767,-41.2875572804072,0.409503125070286,3,3,35,420,0.935869625651922,Scheme trajectory lower than paired IMD baseline
13 | Halton 010B,Scheme 13,Matched pair,active_travel_total,Active travel,2023,2024,-1.63138466875701,-9.53912092332203,6.96761496186651,-36.409972674287,-66.7256413989067,21.5257557256735,-35.3553700928064,-66.2444453544777,23.7997188824855,0.18838017834571,-35.3553700928047,0.297376106069324,4,5,88,1584,0.872380577071355,Scheme trajectory lower than paired IMD baseline
13 | Halton 010B,Scheme 13,Matched pair,cyclist,Cyclist,2023,2024,3.74302342870529,-11.5229290197558,21.6429837797416,-25.3105503588225,-56.5438934602532,28.371230924695,-28.0053278064468,-58.990729355415,26.3917339369117,0.25267847370712,-28.0053278064471,0.3449478335552,4,5,88,1584,0.80065377128824,Scheme trajectory lower than paired IMD baseline
13 | Halton 010B,Scheme 13,Matched pair,pedestrian,Pedestrian,2023,2024,-3.66613303706665,-16.3893123040922,10.9931538631077,-37.4596787426744,-65.9551323169175,14.8863852072801,-35.0796109104709,-65.2728809689975,21.3650034076604,0.176137468294264,-35.0796109104675,0.280392481422746,4,5,88,1584,0.886013499806994,Scheme trajectory lower than paired IMD baseline
