countline_id,pair_id,scheme_id,imd_role,treated_lsoa21nm,treated_imd_score,treated_imd_decile,control_street,control_lsoa21nm,control_imd_score,control_imd_decile,pre_year,post_year,window_start,window_end,absolute_imd_score_difference,countline_name,route_type,local_authority,lsoa21nm,hardware_name
46676,12b | Knowsley 017B,12b,Five scheme sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,s96_CrontonRd_road_mt001,Road,Knowsley,Knowsley 017B,"Cronton Rd, E of Whitefield Ln"
46686,12b | Knowsley 017B,12b,Five scheme sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,s97_CrontonRd_road_mt001,Road,Knowsley,Knowsley 017B,"Cronton Rd, W of Whitefield Ln"
46687,12b | Knowsley 017B,12b,Five scheme sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,s97_CrontonRd_path_LHS_mt001,Path/cycle facility,Knowsley,Knowsley 017B,"Cronton Rd, W of Whitefield Ln"
46688,12b | Knowsley 017B,12b,Five scheme sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,s96_CrontonRd_path_RHS_mt001,Path/cycle facility,Knowsley,Knowsley 017B,"Cronton Rd, E of Whitefield Ln"
16364,12b | Knowsley 017B,12b,IMD-matched sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,S16_ParadiseSt_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln
16365,12b | Knowsley 017B,12b,IMD-matched sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,S16_ParadiseSt_road_mt001,Road,Liverpool,Liverpool 061C,Liver St near Park Ln
16388,12b | Knowsley 017B,12b,IMD-matched sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,S16_ParadiseSt_cycle_southBound_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln
16389,12b | Knowsley 017B,12b,IMD-matched sensors,Knowsley 017B,14.604,6,Liver St near Park Ln,Liverpool 061C,15.028,6,,,,,0.424000000000001,S16_ParadiseSt_path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln
16373,12d | Liverpool 052A,12d,Five scheme sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S17_AigburthRd_road_east_mt001,Road,Liverpool,Liverpool 052A,Aigburth Rd near Aigburth Dr
16374,12d | Liverpool 052A,12d,Five scheme sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S17_AigburthRd_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 052A,Aigburth Rd near Aigburth Dr
16393,12d | Liverpool 052A,12d,Five scheme sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S17_AigburthRd_west_mt001,Road,Liverpool,Liverpool 052A,Aigburth Rd near Aigburth Dr
16394,12d | Liverpool 052A,12d,Five scheme sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S17_AigburthRd_path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 052A,Aigburth Rd near Aigburth Dr
23779,12d | Liverpool 052A,12d,Five scheme sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,s45_AigburthRoad_mt001,Road,Liverpool,Liverpool 052A,Aigburth Rd
22898,12d | Liverpool 052A,12d,IMD-matched sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S40_ClockFaceRd_Path_LHS_mt001,Path/cycle facility,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln
22899,12d | Liverpool 052A,12d,IMD-matched sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S40_ClockFaceRd_Road_mt001,Road,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln
22900,12d | Liverpool 052A,12d,IMD-matched sensors,Liverpool 052A,26.67,3,Clock Face Rd near Gartons Ln,St. Helens 020F,25.825,4,2022,2024,11-15,12-31,0.845000000000002,S40_ClockFaceRd_Path_RHS_mt001,Path/cycle facility,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln
51817,12e | St. Helens 008C,12e,Five scheme sensors,St. Helens 008C,51.739,1,King St near Wellington St,Sefton 004H,55.692,1,,,,,3.953,S177_PathOffParkRd_path_mt001,Path/cycle facility,St. Helens,St. Helens 008C,Park Rd walkway
51818,12e | St. Helens 008C,12e,Five scheme sensors,St. Helens 008C,51.739,1,King St near Wellington St,Sefton 004H,55.692,1,,,,,3.953,S177_PathOffParkRd_path_RHS_mt001,Path/cycle facility,St. Helens,St. Helens 008C,Park Rd walkway
40740,12e | St. Helens 008C,12e,IMD-matched sensors,St. Helens 008C,51.739,1,King St near Wellington St,Sefton 004H,55.692,1,,,,,3.953,S11_KingStreet_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 004H,King St near Wellington St
40742,12e | St. Helens 008C,12e,IMD-matched sensors,St. Helens 008C,51.739,1,King St near Wellington St,Sefton 004H,55.692,1,,,,,3.953,S11_KingStreet_path_RHS_smbc001,Path/cycle facility,Sefton,Sefton 004H,King St near Wellington St
51794,12e | St. Helens 014D,12e,Five scheme sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,S175_ParkRd_road_mt001,Road,St. Helens,St. Helens 014D,Park Rd
51795,12e | St. Helens 014D,12e,Five scheme sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,S175_ParkRd_path_LHS_mt001,Path/cycle facility,St. Helens,St. Helens 014D,Park Rd
51796,12e | St. Helens 014D,12e,Five scheme sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,S175_ParkRd_path_RHS_mt001,Path/cycle facility,St. Helens,St. Helens 014D,Park Rd
23811,12e | St. Helens 014D,12e,IMD-matched sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,s50_StockbridgeLane_LHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr
23812,12e | St. Helens 014D,12e,IMD-matched sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,s50_StockbridgeLane_road_mt001,Road,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr
23813,12e | St. Helens 014D,12e,IMD-matched sensors,St. Helens 014D,75.142,1,Stockbridge Ln near Waterpark Dr,Knowsley 008F,77.148,1,,,,,2.006,s50_StockbridgeLane_RHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr
23799,12f | Wirral 006A,12f,Five scheme sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s51_LeasoweRoad_LHS_path_mt001,Path/cycle facility,Wirral,Wirral 006A,Leasowe Rd near Oakmere Close
23800,12f | Wirral 006A,12f,Five scheme sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s51_LeasoweRoad_road_mt001,Road,Wirral,Wirral 006A,Leasowe Rd near Oakmere Close
23801,12f | Wirral 006A,12f,Five scheme sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s51_LeasoweRoad_RHS_path_mt001,Path/cycle facility,Wirral,Wirral 006A,Leasowe Rd near Oakmere Close
23802,12f | Wirral 006A,12f,IMD-matched sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s53_HarrisonDrive_LHS_path_mt001,Path/cycle facility,Wirral,Wirral 003B,Harrison Dr
23803,12f | Wirral 006A,12f,IMD-matched sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s53_HarrisonDrive_road_mt001,Road,Wirral,Wirral 003B,Harrison Dr
23804,12f | Wirral 006A,12f,IMD-matched sensors,Wirral 006A,12.143,7,Harrison Dr,Wirral 003B,9.32,8,2022,2024,11-15,12-31,2.823,s53_HarrisonDrive_RHS_path_mt001,Path/cycle facility,Wirral,Wirral 003B,Harrison Dr
47768,13 | Halton 010B,13,Five scheme sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,S102_AstmoorBusway_road_mt001,Path/cycle facility,Halton,Halton 010B,Edison Rd
47769,13 | Halton 010B,13,Five scheme sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,S102_AstmoorBusway_path_RHS_mt001,Path/cycle facility,Halton,Halton 010B,Edison Rd
47772,13 | Halton 010B,13,Five scheme sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,S103_WarringtonRd_path_LHS_mt001,Path/cycle facility,Halton,Halton 010B,Warrington Rd
47773,13 | Halton 010B,13,Five scheme sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,S103_WarringtonRd_road_mt001,Road,Halton,Halton 010B,Warrington Rd
15104,13 | Halton 010B,13,IMD-matched sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,s1_westbound_road_lp04,Road,Liverpool,Liverpool 024D,"West Derby Rd - Westbound, near Sheil Rd"
15106,13 | Halton 010B,13,IMD-matched sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,S2_eastbound_road_lp04,Road,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd"
15160,13 | Halton 010B,13,IMD-matched sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,s1_westbound_side_path_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Westbound, near Sheil Rd"
15161,13 | Halton 010B,13,IMD-matched sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,s2_eastbound_cycle_lane_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd"
15162,13 | Halton 010B,13,IMD-matched sensors,Halton 010B,64.805,1,West Derby Rd near Sheil Rd (both directions),Liverpool 024D,64.417,1,2023,2024,09-27,12-31,0.388000000000005,s2_eastbound_side_path_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd"
