comparison_id,comparison_label,outcome,outcome_label,unadjusted_relative_percent,weather_adjusted_relative_percent,adjustment_shift_percentage_points,site_days,matched_dates,weather_complete_percent,unadjusted_adjusted_r_squared,weather_adjusted_r_squared
12d + 12f equal-weight,Schemes 12d and 12f combined,active_travel_total,Active travel,-9.9286602735872,-10.2721846360043,-0.343524362417057,296,148,100,,
12d + 12f equal-weight,Schemes 12d and 12f combined,cyclist,Cyclist,-32.937419757703,-33.3470397192184,-0.409619961515375,296,148,100,,
12d + 12f equal-weight,Schemes 12d and 12f combined,pedestrian,Pedestrian,-3.11173128745077,-3.42719627436262,-0.315464986911851,296,148,100,,
12d | Liverpool 052A,Scheme 12d,active_travel_total,Active travel,-0.675364811911772,-1.46282624258745,-0.787461430675673,156,78,100,0.580075937528545,0.733588964890548
12d | Liverpool 052A,Scheme 12d,cyclist,Cyclist,-34.1692498112543,-35.0078671232567,-0.83861731200242,156,78,100,0.623894373864519,0.786002330804883
12d | Liverpool 052A,Scheme 12d,pedestrian,Pedestrian,5.85141931128321,5.13751925660559,-0.713900054677619,156,78,100,0.585604587155069,0.705414897877879
12f | Wirral 006A,Scheme 12f,active_travel_total,Active travel,-18.3198989379845,-18.2939743145448,0.0259246234396642,140,70,100,0.752009596297412,0.886001910159321
12f | Wirral 006A,Scheme 12f,cyclist,Cyclist,-31.682539605581,-31.6437710604633,0.0387685451177262,140,70,100,0.454636193720856,0.717595131635574
12f | Wirral 006A,Scheme 12f,pedestrian,Pedestrian,-11.3159117261406,-11.2942127094698,0.0216990166708175,140,70,100,0.813810427481532,0.908440806359211
13 | Halton 010B,Scheme 13,active_travel_total,Active travel,-43.0404860108608,-42.075508390227,0.964977620633711,352,176,100,0.679760272846625,0.699461473525792
13 | Halton 010B,Scheme 13,cyclist,Cyclist,-18.481822931101,-17.0634983002878,1.41832463081322,352,176,100,0.601889055162126,0.643753033093321
13 | Halton 010B,Scheme 13,pedestrian,Pedestrian,-50.5700358232571,-49.8576335425122,0.712402280744904,352,176,100,0.735027072537328,0.740166827401654
