countline_id,valid_days_2022,valid_days_2024,first_valid_date,last_valid_date,countline_name,route_type,local_authority,lsoa21nm,hardware_name,eligible_2022_2024
16363,47,364,2022-11-15,2024-12-31,S4_eastLn_road_mt001,Road,Halton,Halton 015B,Crown Gate,TRUE
16366,46,364,2022-11-15,2024-12-31,S2_liverpoolRd_cycle_mt001,Path/cycle facility,Halton,Halton 006B,Cycle Ln near Liverpool Rd / Prescott Rd,TRUE
16369,7,336,2022-11-15,2024-12-31,S3_Busway_road_mt001,Road,Halton,Halton 015B,Busway near Palacefields Ave,TRUE
22875,47,359,2022-11-15,2024-12-25,S25_busway_palaceFields_mt001,Other / crossing,Halton,Halton 015B,"Busway, near Palacefields Ave",TRUE
22897,18,364,2022-12-14,2024-12-31,S26_busway_BarnfieldAve_mt001,Other / crossing,Halton,Halton 014D,Busway near Stockham Ln,TRUE
23806,47,16,2022-11-15,2024-01-16,s27_Busway_road_mt001,Road,Halton,Halton 014D,Murdishaw Centre,TRUE
40834,44,266,2022-11-16,2024-12-31,S1_Queensway_road_hbc001,Road,Halton,Halton 012F,Queensway near New Rbt,TRUE
40835,44,266,2022-11-16,2024-12-31,S1_Queensway_RHSpath_hbc001,Path/cycle facility,Halton,Halton 012F,Queensway near New Rbt,TRUE
54966,18,364,2022-12-14,2024-12-31,S26_busway_BarnfieldAve_cycleLn_westbound_mt001,Path/cycle facility,Halton,Halton 014D,Busway near Stockham Ln,TRUE
54967,18,364,2022-12-14,2024-12-31,S26_busway_BarnfieldAve_path_RHS_mt001,Path/cycle facility,Halton,Halton 014D,Busway near Stockham Ln,TRUE
16347,47,364,2022-11-15,2024-12-31,S13_cherryfieldDrive_path_LHS_mt001,Path/cycle facility,Knowsley,Knowsley 003D,Cherryfield Dr near Cherryfield Cres,TRUE
16348,47,364,2022-11-15,2024-12-31,S13_cherryfieldDrive_road_mt001,Road,Knowsley,Knowsley 003D,Cherryfield Dr near Cherryfield Cres,TRUE
16349,47,364,2022-11-15,2024-12-31,S13_cherryfieldDrive_path_RHS_mt001,Path/cycle facility,Knowsley,Knowsley 003D,Cherryfield Dr near Cherryfield Cres,TRUE
23789,37,349,2022-11-16,2024-12-31,s49_KirkbyRow_LHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 002B,Kirkby Row near Whitefield Dr,TRUE
23790,37,349,2022-11-16,2024-12-31,s49_KirkbyRow_road_mt001,Road,Knowsley,Knowsley 002B,Kirkby Row near Whitefield Dr,TRUE
23791,37,349,2022-11-16,2024-12-31,s49_KirkbyRow_RHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 002B,Kirkby Row near Whitefield Dr,TRUE
23792,46,363,2022-11-15,2024-12-31,s48_KirkbyRow_LHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 004A,Kirkby Row near Valley Rd,TRUE
23793,46,363,2022-11-15,2024-12-31,s48_KirkbyRow_road_mt001,Road,Knowsley,Knowsley 004A,Kirkby Row near Valley Rd,TRUE
23794,46,363,2022-11-15,2024-12-31,s48_KirkbyRow_RHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 004A,Kirkby Row near Valley Rd,TRUE
23811,46,364,2022-11-16,2024-12-31,s50_StockbridgeLane_LHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr,TRUE
23812,46,364,2022-11-16,2024-12-31,s50_StockbridgeLane_road_mt001,Road,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr,TRUE
23813,46,364,2022-11-16,2024-12-31,s50_StockbridgeLane_RHS_path_mt001,Path/cycle facility,Knowsley,Knowsley 008F,Stockbridge Ln near Waterpark Dr,TRUE
15104,45,361,2022-11-15,2024-12-31,s1_westbound_road_lp04,Road,Liverpool,Liverpool 024D,"West Derby Rd - Westbound, near Sheil Rd",TRUE
15106,42,346,2022-11-15,2024-12-31,S2_eastbound_road_lp04,Road,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd",TRUE
15160,44,361,2022-11-15,2024-12-31,s1_westbound_side_path_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Westbound, near Sheil Rd",TRUE
15161,41,346,2022-11-15,2024-12-31,s2_eastbound_cycle_lane_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd",TRUE
15162,41,346,2022-11-15,2024-12-31,s2_eastbound_side_path_lp04,Path/cycle facility,Liverpool,Liverpool 024D,"West Derby Rd - Eastbound, near Sheil Rd",TRUE
16361,45,365,2022-11-16,2024-12-31,S19_westernAve_road_south_mt001,Road,Liverpool,Liverpool 059F,Western Ave near of Bray Rd,TRUE
16362,45,365,2022-11-16,2024-12-31,S19_westernAve_road_north_mt001,Road,Liverpool,Liverpool 058C,Western Ave near of Bray Rd,TRUE
16364,44,359,2022-11-15,2024-12-31,S16_ParadiseSt_path_LHS_mt001,Path/cycle facility,Liverpool,Liverpool 061C,Liver St near Park Ln,TRUE
16365,44,359,2022-11-15,2024-12-31,S16_ParadiseSt_road_mt001,Road,Liverpool,Liverpool 061C,Liver St near Park Ln,TRUE
16375,42,336,2022-11-15,2024-12-31,S18_stMarysRd_path_RHS_mt001,Path/cycle facility,Liverpool,Liverpool 057D,Saint Mary's Rd near Sidwell St,TRUE
16376,42,336,2022-11-15,2024-12-31,S18_stMarysRd_road_mt001,Road,Liverpool,Liverpool 057D,Saint Mary's Rd near Sidwell St,TRUE
