analysis_scheme_id,scheme_name,treated_road_group,dataset_role,role_label,outcome,outcome_label,frequency,intervention_date_used,pre_peak_period_start,pre_peak_average_per_observed_day,post_peak_period_start,post_peak_average_per_observed_day,post_minus_pre_peak_average,post_vs_pre_peak_percent_change,days_from_installation_to_post_peak,weeks_from_installation_to_post_peak,months_from_installation_to_post_peak,pre_period_rows,post_period_rows
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,Cyclist,Cyclist,weekly,2023-03-01,,,2024-05-13,41.857,,,439,62.7,14.4,0,155
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,Pedestrian,Pedestrian,weekly,2023-03-01,,,2024-05-13,122.643,,,439,62.7,14.4,0,155
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,active_travel_total,Active travel,weekly,2023-03-01,,,2024-05-13,164.5,,,439,62.7,14.4,0,155
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,Cyclist,Cyclist,weekly,2023-03-01,2022-11-14,74.083,2023-11-13,201.357,127.274,171.8,257,36.7,8.4,17,167
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,Pedestrian,Pedestrian,weekly,2023-03-01,2023-02-20,133.429,2024-05-06,182.164,48.736,36.53,432,61.7,14.2,17,167
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,active_travel_total,Active travel,weekly,2023-03-01,2022-11-14,203.25,2023-09-25,299.5,96.25,47.36,208,29.7,6.8,17,167
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,Cyclist,Cyclist,weekly,2023-03-01,2023-02-27,28.333,2025-05-19,32.905,4.571,16.13,810,115.7,26.6,17,169
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,Pedestrian,Pedestrian,weekly,2023-03-01,2023-02-20,183.952,2023-03-27,243.619,59.667,32.44,26,3.7,0.9,17,169
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,active_travel_total,Active travel,weekly,2023-03-01,2023-02-20,211.381,2023-03-27,268.81,57.429,27.17,26,3.7,0.9,17,169
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,Cyclist,Cyclist,weekly,2023-03-01,2023-02-06,47.743,2023-06-05,66.543,18.8,39.38,96,13.7,3.2,17,169
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,Pedestrian,Pedestrian,weekly,2023-03-01,2023-02-20,151.057,2025-05-19,212.154,61.097,40.45,810,115.7,26.6,17,169
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,active_travel_total,Active travel,weekly,2023-03-01,2023-02-27,196.7,2025-05-19,266.962,70.262,35.72,810,115.7,26.6,17,169
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,Cyclist,Cyclist,weekly,2023-03-01,,,2024-08-05,43.2,,,523,74.7,17.2,0,96
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,Pedestrian,Pedestrian,weekly,2023-03-01,,,2024-09-09,203.971,,,558,79.7,18.3,0,96
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,active_travel_total,Active travel,weekly,2023-03-01,,,2024-09-09,238.543,,,558,79.7,18.3,0,96
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,Cyclist,Cyclist,weekly,2023-06-01,,,2025-02-24,570,,,634,90.6,20.8,0,112
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,Pedestrian,Pedestrian,weekly,2023-06-01,,,2024-04-29,227,,,333,47.6,10.9,0,112
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,active_travel_total,Active travel,weekly,2023-06-01,,,2025-02-24,720,,,634,90.6,20.8,0,112
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,Cyclist,Cyclist,weekly,2023-06-01,2023-05-29,94.833,2026-05-25,114.333,19.5,20.56,1089,155.6,35.8,29,156
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,Pedestrian,Pedestrian,weekly,2023-06-01,2023-05-29,266.333,2026-05-25,390.167,123.833,46.5,1089,155.6,35.8,29,156
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,active_travel_total,Active travel,weekly,2023-06-01,2023-05-29,361.167,2026-05-25,504.5,143.333,39.69,1089,155.6,35.8,29,156
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,Cyclist,Cyclist,weekly,2023-06-01,2023-05-29,75.917,2025-03-31,99.476,23.56,31.03,669,95.6,22,30,156
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,Pedestrian,Pedestrian,weekly,2023-06-01,2023-05-29,121.667,2024-05-20,130.619,8.952,7.36,354,50.6,11.6,30,156
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,active_travel_total,Active travel,weekly,2023-06-01,2023-05-29,196.75,2026-05-25,198.667,1.917,0.97,1089,155.6,35.8,30,156
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,Cyclist,Cyclist,weekly,2024-03-01,2024-02-12,45.056,2024-09-09,262.795,217.739,483.27,192,27.4,6.3,7,117
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,Pedestrian,Pedestrian,weekly,2024-03-01,2024-02-12,379.778,2024-07-22,358.258,-21.52,-5.67,143,20.4,4.7,7,117
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,active_travel_total,Active travel,weekly,2024-03-01,2024-02-12,424.833,2024-09-09,543.205,118.372,27.86,192,27.4,6.3,7,117
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,Cyclist,Cyclist,weekly,2024-03-01,2023-09-04,52.286,2024-07-08,53.298,1.012,1.94,129,18.4,4.2,69,117
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,Pedestrian,Pedestrian,weekly,2024-03-01,2023-01-09,180.538,2026-05-25,107.5,-73.038,-40.46,815,116.4,26.8,69,117
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,active_travel_total,Active travel,weekly,2024-03-01,2023-01-09,212.231,2026-05-25,151,-61.231,-28.85,815,116.4,26.8,69,117
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,Cyclist,Cyclist,weekly,2024-03-01,2023-10-09,96.857,2025-10-27,285.625,188.768,194.89,605,86.4,19.9,24,117
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,Pedestrian,Pedestrian,weekly,2024-03-01,2023-12-11,331.214,2025-05-05,399.893,68.679,20.74,430,61.4,14.1,24,117
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,active_travel_total,Active travel,weekly,2024-03-01,2023-12-11,363.821,2025-05-05,440.821,77,21.16,430,61.4,14.1,24,117
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,Cyclist,Cyclist,monthly,2023-03-01,,,2024-05-01,31.54,,,427,61,14,0,36
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,Pedestrian,Pedestrian,monthly,2023-03-01,,,2024-05-01,100.653,,,427,61,14,0,36
12b,WP3a Prescot to Cronton,Cronton Road / Sandy Lane,treated,Treated,active_travel_total,Active travel,monthly,2023-03-01,,,2024-05-01,132.194,,,427,61,14,0,36
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,Cyclist,Cyclist,monthly,2023-03-01,2022-11-01,53.969,2023-11-01,137.717,83.748,155.18,245,35,8,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,Pedestrian,Pedestrian,monthly,2023-03-01,2023-02-01,120.611,2024-05-01,158.044,37.433,31.04,427,61,14,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,control,Descriptive-only control,active_travel_total,Active travel,monthly,2023-03-01,2023-02-01,172.333,2023-06-01,235.118,62.784,36.43,92,13.1,3,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,Cyclist,Cyclist,monthly,2023-03-01,2023-02-01,25.642,2023-06-01,29.967,4.325,16.87,92,13.1,3,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,Pedestrian,Pedestrian,monthly,2023-03-01,2023-02-01,164.556,2025-03-01,190.667,26.111,15.87,731,104.4,24,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,control,Valid control,active_travel_total,Active travel,monthly,2023-03-01,2023-02-01,190.198,2023-05-01,218.516,28.319,14.89,61,8.7,2,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,Cyclist,Cyclist,monthly,2023-03-01,2023-02-01,45.4,2023-06-01,61.547,16.147,35.57,92,13.1,3,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,Pedestrian,Pedestrian,monthly,2023-03-01,2023-02-01,140.864,2025-05-01,176.32,35.455,25.17,792,113.1,26,4,39
12d,WP1 Otterspool Promenade,Aigburth Road,treated,Treated,active_travel_total,Active travel,monthly,2023-03-01,2023-02-01,186.264,2025-05-01,228.041,41.777,22.43,792,113.1,26,4,39
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,Cyclist,Cyclist,monthly,2023-03-01,,,2024-08-01,40.277,,,519,74.1,17.1,0,22
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,Pedestrian,Pedestrian,monthly,2023-03-01,,,2025-03-01,177.503,,,731,104.4,24,0,22
12e,WP5 Sankey Canal to St Helens,Park Road / Path off Park Road,treated,Treated,active_travel_total,Active travel,monthly,2023-03-01,,,2024-09-01,211.627,,,550,78.6,18.1,0,22
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,Cyclist,Cyclist,monthly,2023-06-01,,,2024-07-01,163.194,,,396,56.6,13,0,26
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,Pedestrian,Pedestrian,monthly,2023-06-01,,,2024-05-01,177.871,,,335,47.9,11,0,26
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Descriptive-only control,active_travel_total,Active travel,monthly,2023-06-01,,,2024-07-01,311.806,,,396,56.6,13,0,26
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,Cyclist,Cyclist,monthly,2023-06-01,2023-05-01,61.467,2023-06-01,75,13.533,22.02,0,0,0,7,36
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,Pedestrian,Pedestrian,monthly,2023-06-01,2023-05-01,203.756,2025-04-01,243.222,39.467,19.37,670,95.7,22,7,36
12f,WP6 Leasowe to Wallasey Bridge Rd,Wallasey Bridge Road,control,Valid control,active_travel_total,Active travel,monthly,2023-06-01,2023-05-01,265.222,2025-04-01,317.089,51.867,19.56,670,95.7,22,7,36
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,Cyclist,Cyclist,monthly,2023-06-01,2023-05-01,59.398,2023-06-01,60.911,1.513,2.55,0,0,0,7,36
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,Pedestrian,Pedestrian,monthly,2023-06-01,2023-05-01,98.301,2024-05-01,101.161,2.86,2.91,335,47.9,11,7,36
12f,WP6 Leasowe to Wallasey Bridge Road,Leasowe Road / Wallasey corridor,treated,Treated,active_travel_total,Active travel,monthly,2023-06-01,2023-05-01,157.699,2023-06-01,150.033,-7.666,-4.86,0,0,0,7,36
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,Cyclist,Cyclist,monthly,2024-03-01,2024-02-01,40.512,2024-09-01,156.817,116.305,287.09,184,26.3,6,2,27
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,Pedestrian,Pedestrian,monthly,2024-03-01,2024-02-01,317.049,2024-03-01,300.22,-16.829,-5.31,0,0,0,2,27
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Descriptive-only control,active_travel_total,Active travel,monthly,2024-03-01,2024-02-01,357.561,2024-08-01,374.375,16.814,4.7,153,21.9,5,2,27
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,Cyclist,Cyclist,monthly,2024-03-01,2023-05-01,43.774,2024-07-01,43.062,-0.711,-1.62,122,17.4,4,16,27
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,Pedestrian,Pedestrian,monthly,2024-03-01,2023-01-01,148.804,2026-05-01,71.159,-77.645,-52.18,791,113,26,16,27
13,LCR Cycle Network phase 2 - Runcorn to Daresbury,Astmoor / Warrington Road,control,Valid control,active_travel_total,Active travel,monthly,2024-03-01,2023-01-01,180.268,2024-07-01,112.589,-67.679,-37.54,122,17.4,4,16,27
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,Cyclist,Cyclist,monthly,2024-03-01,2023-09-01,78.938,2025-10-01,104.298,25.361,32.13,579,82.7,19,6,27
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,Pedestrian,Pedestrian,monthly,2024-03-01,2023-12-01,143.46,2025-05-01,247.427,103.968,72.47,426,60.9,14,6,27
13,LCR Cycle Network phase 2 Runcorn to Daresbury,Astmoor Busway / Warrington Road,treated,Treated,active_travel_total,Active travel,monthly,2024-03-01,2023-12-01,167.137,2025-05-01,323.653,156.516,93.65,426,60.9,14,6,27
