scheme_id,pair_id,outcome,candidate_id,candidate_lsoa21nm,candidate_street,candidate_hardware_names,candidate_countline_ids,candidate_countlines,candidate_local_authority,treated_imd_score,candidate_imd_score,absolute_imd_score_difference,treated_imd_decile,candidate_imd_decile,absolute_imd_decile_difference,treated_routes,candidate_routes,context_gate,common_pre_days,pre_date_coverage,minimum_month_coverage,treated_countline_coverage,candidate_countline_coverage,treated_mean,candidate_mean,level_ratio,treated_window_log_change,candidate_window_log_change,trend_log_change_distance,monthly_percentage_log_rmse,weekday_percentage_log_rmse,weekly_percentage_log_correlation,hard_gate,trajectory_score,total_match_score,rank_within_outcome,selected_control,trajectory_scale,trajectory_log_definition,road_type_used_for_selection
12d,12d | Liverpool 052A,cyclist,Liverpool 042C | fir ln,Liverpool 042C,fir ln,Fir Ln near Prince Alfred Rd,23780;23781,2,Liverpool,26.67,34.15,7.48,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,85,0.80952380952381,0.642857142857143,0.872941176470588,1,37.4964705882353,38.7470588235294,1.03248578937718,0.386009232690292,0.441570247177605,0.0555610144873137,0.221666953911214,0.200088536223512,0.829861986556392,TRUE,0.138570977661182,0.263370977661182,1,TRUE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Liverpool 042C | prince alfred rd,Liverpool 042C,prince alfred rd,Prince Alfred Rd near Fir Ln,22877;22878;22879,3,Liverpool,26.67,34.15,7.48,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,103,0.980952380952381,0.964285714285714,0.858252427184466,1,38.1097087378641,20.7022653721683,0.554907363734909,0.331997791326907,0.44817078420484,0.116172992877934,0.0499213054385919,0.0931013113770183,0.8254801218239,TRUE,0.252301329548319,0.377101329548319,2,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Knowsley 002B | kirkby row,Knowsley 002B,kirkby row,Kirkby Row near Whitefield Dr,23789;23790;23791,3,Knowsley,26.67,33.737,7.067,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,86,0.819047619047619,0.5,0.846511627906977,1,38.4108527131783,31.6356589147287,0.828088119590873,0.238966187019585,0.315787857247201,0.0768216702276161,0.0173106078537884,0.113467662486946,0.929127384091991,FALSE,0.139414316309303,0.260084316309303,3,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 003D | park cres,Sefton 003D,park cres,Park Cres,40720;40721;40722,3,Sefton,26.67,18.584,8.086,3,5,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,96,0.914285714285714,0.875,0.858333333333333,1,38.6173611111111,31.96875,0.832179354589914,0.346128095201657,0.410573084611071,0.064444989409414,0.0243479016615991,0.108350513812113,0.850690765537797,FALSE,0.119478037422849,0.30033803742285,4,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 003B | marshside rd,Sefton 003B,marshside rd,Marshside Rd near Fylde Rd,22884;22885;22886,3,Sefton,26.67,40.465,13.795,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,104,0.990476190476191,0.964285714285714,0.861538461538462,1,38.2391025641026,31.698717948718,0.833319719667391,0.336214680855907,0.131731430078133,0.204483250777774,0.0948142415003242,0.250720628269632,0.791512149825766,FALSE,0.179890858521834,0.367840858521834,5,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 011D | liverpool rd,Sefton 011D,liverpool rd,Liverpool Rd near Saint Thomas More Dr,22871;26532;40723;40724,4,Sefton,26.67,15.515,11.155,3,6,3,Path/cycle facility;Road,Other / crossing;Path/cycle facility;Road,FALSE,104,0.990476190476191,0.964285714285714,0.861538461538462,0.980769230769231,38.2391025641026,34.5673076923077,0.906425105778185,0.336214680855907,0.46975551520604,0.133540834350133,0.0819892984264995,0.140485675839712,0.942768232745243,FALSE,0.107252317198373,0.368802317198373,6,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Wirral 009B | fender ln,Wirral 009B,fender ln,Fender Ln near Hoylake Rd,16367;16368;16390;16391;52615,5,Wirral,26.67,25.557,1.113,3,4,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,103,0.980952380952381,0.964285714285714,0.864077669902913,0.994174757281553,38.3482200647249,18.0378640776699,0.483830375207672,0.338228254971722,0.545539517396518,0.207311262424796,0.0718671063767058,0.0830979081998547,0.867688487003443,FALSE,0.314791398050053,0.375921398050053,7,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,St. Helens 020F | clock face rd,St. Helens 020F,clock face rd,Clock Face Rd near Gartons Ln,22898;22899;22900,3,St. Helens,26.67,25.825,0.845000000000002,3,4,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,101,0.961904761904762,0.928571428571429,0.865346534653465,1,38.4171617161716,17.4554455445545,0.468208382872549,0.324717235619177,0.53512215935375,0.210404923734573,0.0601286083378303,0.0964008152580767,0.882148150370263,FALSE,0.325913628718386,0.384363628718386,8,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Halton 006B | cycle ln,Halton 006B,cycle ln,Cycle Ln near Liverpool Rd / Prescott Rd,16366,1,Halton,26.67,38.588,11.918,3,2,1,Path/cycle facility;Road,Path/cycle facility,FALSE,103,0.980952380952381,0.964285714285714,0.860194174757282,1,38.3831715210356,26.252427184466,0.691981527437672,0.336447984929737,0.172379564649005,0.164068420280732,0.0462302000736394,0.116614266731277,0.621376091276881,FALSE,0.219974154583083,0.389154154583082,9,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 004A | queen's rd,Sefton 004A,queen's rd,Queen's Rd near Hawkshead St,43346;43347,2,Sefton,26.67,40.356,13.686,3,2,1,Path/cycle facility;Road,Road,FALSE,103,0.980952380952381,0.928571428571429,0.864077669902913,1,38.1766990291262,66.2281553398058,1.7160239888977,0.340503431710084,0.265028370548677,0.075475061161407,0.0644384033621759,0.143195531035499,0.88665951853969,FALSE,0.230732967394683,0.417592967394683,10,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Wirral 019B | upton rd,Wirral 019B,upton rd,Upton Rd near Westwood Rd,41136;41137,2,Wirral,26.67,21.574,5.096,3,4,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,102,0.971428571428571,0.928571428571429,0.862745098039216,1,38.243137254902,17.8872549019608,0.481288098331168,0.332052529387651,0.515000935254616,0.182948405866964,0.0763688961047485,0.109421838058862,0.816949683590629,FALSE,0.32150761057758,0.42246761057758,11,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 004G | hoghton st,Sefton 004G,hoghton st,Hoghton St near Hoghton Grove; Hoghton St near Queen's Rd,43340;43342;43343;43493;43494;43495,6,Sefton,26.67,45.56,18.89,3,1,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,105,1,1,0.857142857142857,0.957142857142857,38.1749206349206,30.8619047619048,0.813324041134188,0.328426284914773,0.185311720302199,0.143114564612574,0.0784380035617186,0.129509216969484,0.86765053966448,FALSE,0.144639811874971,0.433539811874971,12,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 004D | hall st,Sefton 004D,hall st,Hall St near East St,40737;40738;40739,3,Sefton,26.67,33.442,6.772,3,2,1,Path/cycle facility;Road,Other / crossing;Path/cycle facility;Road,TRUE,103,0.980952380952381,0.964285714285714,0.860194174757282,1,38.3831715210356,17.3430420711974,0.465758377569971,0.336447984929737,0.141090501515999,0.195357483413738,0.081101312989463,0.0850194617807522,0.86008031301922,FALSE,0.326508419546039,0.444228419546039,13,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Liverpool 057D | saint mary's rd,Liverpool 057D,saint mary's rd,Saint Mary's Rd near Sidwell St,16375;16376;16395,3,Liverpool,26.67,45.859,19.189,3,1,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,104,0.990476190476191,0.964285714285714,0.861538461538462,0.923076923076923,38.2391025641026,53.1442307692308,1.37985395259177,0.336214680855907,0.41689169194852,0.0806770110926126,0.0684025341158464,0.161395277399887,0.820204761051987,FALSE,0.169900937703939,0.461790937703939,14,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,St. Helens 024E | peasley cross ln,St. Helens 024E,peasley cross ln,Peasley Cross Ln near McManus Dr,22882;22883,2,St. Helens,26.67,40.867,14.197,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,101,0.961904761904762,0.928571428571429,0.861386138613861,1,38.0871287128713,17.7128712871287,0.478747656922843,0.344975937392532,0.273063456400831,0.0719124809917007,0.0493189529149136,0.0947360049005487,0.805995772737971,FALSE,0.290097307389223,0.482067307389223,15,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 026B | maghull ln,Sefton 026B,maghull ln,Maghull Ln near Maghull Ln Interchange,40745;40746,2,Sefton,26.67,26.451,0.219000000000001,3,4,1,Path/cycle facility;Road,Other / crossing;Path/cycle facility,TRUE,102,0.971428571428571,0.928571428571429,0.862745098039216,1,38.321568627451,9.6421568627451,0.270644260496659,0.340736735783913,0.336189295564985,0.00454744021892822,0.0431865787764964,0.115305752292308,0.861836840260543,FALSE,0.439068815810674,0.491258815810674,16,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 004D | hawkshead st,Sefton 004D,hawkshead st,Hawkshead St near Kestrel Ct,40734;40735;40736,3,Sefton,26.67,33.442,6.772,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,101,0.961904761904762,0.892857142857143,0.869306930693069,1,38.2356435643564,12.3531353135314,0.340331751959894,0.327680375009669,0.201694327918756,0.125986047090913,0.0561080528871509,0.0822914458285525,0.926446110480169,FALSE,0.395449532924036,0.513169532924036,17,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Halton 015B | crown gate,Halton 015B,crown gate,Crown Gate,16363,1,Halton,26.67,58.811,32.141,3,1,2,Path/cycle facility;Road,Road,FALSE,103,0.980952380952381,0.928571428571429,0.864077669902913,1,38.1766990291262,31.8349514563107,0.838124504361618,0.340503431710084,0.215949961727063,0.124553469983021,0.0587269352428429,0.0904898012389121,0.882838287676957,FALSE,0.127945416822806,0.549355416822806,18,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Wirral 034B | arrowe park rd,Wirral 034B,arrowe park rd,Arrowe Park Rd,23796;23797;23798,3,Wirral,26.67,18.837,7.833,3,5,2,Path/cycle facility;Road,Path/cycle facility,FALSE,100,0.952380952380952,0.9,0.868,1,37.948,15.4133333333333,0.421416589640889,0.336985232495421,0.560888711809526,0.223903479314105,0.0875865166453514,0.169836232335198,0.909973594706157,FALSE,0.372700412441963,0.551030412441963,19,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Liverpool 024D | west derby rd,Liverpool 024D,west derby rd,"West Derby Rd - Eastbound, near Sheil Rd; West Derby Rd - Westbound, near Sheil Rd",15104;15106;15160;15161;15162,5,Liverpool,26.67,64.417,37.747,3,1,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,101,0.961904761904762,0.935483870967742,0.873267326732673,0.944554455445545,38.1353135313531,39.6782178217822,1.03942486085343,0.334374614730578,0.429589385546838,0.0952147708162608,0.0303806990452881,0.0714371144327885,0.810784652247178,FALSE,0.076240266055314,0.553710266055314,20,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 004I | talbot st,Sefton 004I,talbot st,Talbot St near Portland St,16370;16371;16372,3,Sefton,26.67,55.692,29.022,3,1,2,Path/cycle facility;Road,Other / crossing;Road,FALSE,102,0.971428571428571,0.9375,0.858823529411765,1,38.4261437908497,25.5751633986928,0.674049268923444,0.31951295477206,0.376174502273279,0.0566615475012182,0.0391982524582919,0.0586086978508525,0.939356668662747,FALSE,0.163878256678309,0.554098256678309,21,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Wirral 031C | new chester rd,Wirral 031C,new chester rd,New Chester Rd near Sefton Rd,16381;16382;16383,3,Wirral,26.67,44.541,17.871,3,1,2,Path/cycle facility;Road,Other / crossing;Road,FALSE,102,0.971428571428571,0.9375,0.862745098039216,1,38.4457516339869,80.3986928104575,2.06356044538706,0.321924255850952,0.416853471334411,0.0949292154834591,0.0485609890667919,0.0786709912636025,0.887223587136957,FALSE,0.281335417353492,0.560045417353492,22,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Sefton 037D | merton rd,Sefton 037D,merton rd,Merton Rd near Washington Parade,16353;16392,2,Sefton,26.67,66.265,39.595,3,1,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,104,0.990476190476191,0.964285714285714,0.861538461538462,0.980769230769231,38.2391025641026,40.2067307692308,1.05014457713231,0.336214680855907,0.400249070477507,0.0640343896215993,0.0211373781177011,0.148313048117417,0.858854656247191,FALSE,0.0720837095987006,0.568033709598701,23,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
12d,12d | Liverpool 052A,cyclist,Wirral 027D | new chester rd,Wirral 027D,new chester rd,New Chester Rd near Bedford Rd; New Chester Rd near St Paul's Rd,16350;16351;16352;16356;16357;16358,6,Wirral,26.67,59.878,33.208,3,1,2,Path/cycle facility;Road,Path/cycle facility;Road,FALSE,105,1,1,0.857142857142857,0.995238095238095,38.1749206349206,45.9952380952381,1.19962561081353,0.328426284914773,0.499910265597326,0.171483980682554,0.0587966043047538,0.085379514850577,0.886857582044625,FALSE,0.13599012635472,0.56807012635472,24,FALSE,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE
