benchmark,comparison_id,comparison_label,outcome,outcome_label,unadjusted_relative_percent,weather_adjusted_relative_percent,adjustment_shift_percentage_points,observations,weather_complete_percent
Eligible LCR sensors,12d + 12f versus LCR,Schemes 12d and 12f versus eligible LCR sensors,active_travel_total,Active travel,-32.9931855959881,-33.3756396795335,-0.382454083545461,11872,100
Eligible LCR sensors,12d + 12f versus LCR,Schemes 12d and 12f versus eligible LCR sensors,cyclist,Cyclist,-30.9876758076659,-31.6340749777647,-0.6463991700988,11872,100
Eligible LCR sensors,12d + 12f versus LCR,Schemes 12d and 12f versus eligible LCR sensors,pedestrian,Pedestrian,-29.3007526171657,-29.4353002187372,-0.134547601571523,11872,100
IMD-matched streets,12d + 12f equal-weight,Schemes 12d and 12f combined,active_travel_total,Active travel,-9.9286602735872,-10.2721846360043,-0.343524362417057,296,100
IMD-matched streets,12d + 12f equal-weight,Schemes 12d and 12f combined,cyclist,Cyclist,-32.937419757703,-33.3470397192184,-0.409619961515375,296,100
IMD-matched streets,12d + 12f equal-weight,Schemes 12d and 12f combined,pedestrian,Pedestrian,-3.11173128745077,-3.42719627436262,-0.315464986911851,296,100
IMD-matched streets,12d | Liverpool 052A,Scheme 12d,active_travel_total,Active travel,-0.675364811911772,-1.46282624258745,-0.787461430675673,156,100
IMD-matched streets,12d | Liverpool 052A,Scheme 12d,cyclist,Cyclist,-34.1692498112543,-35.0078671232567,-0.83861731200242,156,100
IMD-matched streets,12d | Liverpool 052A,Scheme 12d,pedestrian,Pedestrian,5.85141931128321,5.13751925660559,-0.713900054677619,156,100
IMD-matched streets,12f | Wirral 006A,Scheme 12f,active_travel_total,Active travel,-18.3198989379845,-18.2939743145448,0.0259246234396642,140,100
IMD-matched streets,12f | Wirral 006A,Scheme 12f,cyclist,Cyclist,-31.682539605581,-31.6437710604633,0.0387685451177262,140,100
IMD-matched streets,12f | Wirral 006A,Scheme 12f,pedestrian,Pedestrian,-11.3159117261406,-11.2942127094698,0.0216990166708175,140,100
IMD-matched streets,13 | Halton 010B,Scheme 13,active_travel_total,Active travel,-43.0404860108608,-42.075508390227,0.964977620633711,352,100
IMD-matched streets,13 | Halton 010B,Scheme 13,cyclist,Cyclist,-18.481822931101,-17.0634983002878,1.41832463081322,352,100
IMD-matched streets,13 | Halton 010B,Scheme 13,pedestrian,Pedestrian,-50.5700358232571,-49.8576335425122,0.712402280744904,352,100
